D,O,H,L,C,V
7/18/16,2162.040039,2168.350098,2159.629883,2166.889893,3009310000
7/15/16,2165.129883,2169.050049,2155.790039,2161.73999,3122600000
7/14/16,2157.879883,2168.98999,2157.879883,2163.75,3465610000
7/13/16,2153.810059,2156.449951,2146.209961,2152.429932,3502320000
7/12/16,2139.5,2155.399902,2139.5,2152.139893,4097820000
7/11/16,2131.719971,2143.159912,2131.719971,2137.159912,3253340000
7/8/16,2106.969971,2131.709961,2106.969971,2129.899902,3607500000
7/7/16,2100.419922,2109.080078,2089.389893,2097.899902,3604550000
7/6/16,2084.429932,2100.719971,2074.02002,2099.72998,3909380000
7/5/16,2095.050049,2095.050049,2080.860107,2088.550049,3658380000
7/1/16,2099.340088,2108.709961,2097.899902,2102.949951,3458890000
6/30/16,2073.169922,2098.939941,2070,2098.860107,4622820000
6/29/16,2042.689941,2073.129883,2042.689941,2070.77002,4241740000
6/28/16,2006.670044,2036.089966,2006.670044,2036.089966,4385810000
6/27/16,2031.449951,2031.449951,1991.680054,2000.540039,5431220000
6/24/16,2103.810059,2103.810059,2032.569946,2037.410034,7597449600
6/23/16,2092.800049,2113.320068,2092.800049,2113.320068,3297940000
6/22/16,2089.75,2099.709961,2084.360107,2085.449951,3168160000
6/21/16,2085.189941,2093.659912,2083.02002,2088.899902,3232880000
6/20/16,2075.580078,2100.659912,2075.580078,2083.25,3467440000
6/17/16,2078.199951,2078.199951,2062.840088,2071.219971,4952630000
6/16/16,2066.360107,2079.620117,2050.370117,2077.98999,3628280000
6/15/16,2077.600098,2085.649902,2069.800049,2071.5,3544720000
6/14/16,2076.649902,2081.300049,2064.100098,2075.320068,3759770000
6/13/16,2091.75,2098.120117,2078.459961,2079.060059,3392030000
6/10/16,2109.570068,2109.570068,2089.959961,2096.070068,3515010000
6/9/16,2115.649902,2117.639893,2107.72998,2115.47998,3290320000
6/8/16,2112.709961,2120.550049,2112.709961,2119.120117,3562060000
6/7/16,2110.179932,2119.219971,2110.179932,2112.129883,3534730000
6/6/16,2100.830078,2113.360107,2100.830078,2109.409912,3442020000
6/3/16,2104.070068,2104.070068,2085.360107,2099.129883,3627780000
6/2/16,2097.709961,2105.26001,2088.590088,2105.26001,3632720000
6/1/16,2093.939941,2100.969971,2085.100098,2099.330078,3525170000
5/31/16,2100.129883,2103.47998,2088.659912,2096.949951,4514410000
5/27/16,2090.060059,2099.060059,2090.060059,2099.060059,3079150000
5/26/16,2091.439941,2094.300049,2087.080078,2090.100098,3230990000
5/25/16,2078.929932,2094.72998,2078.929932,2090.540039,3859160000
5/24/16,2052.649902,2079.669922,2052.649902,2076.060059,3627340000
5/23/16,2052.22998,2055.580078,2047.26001,2048.040039,3055480000
5/20/16,2041.880005,2058.350098,2041.880005,2052.320068,3507650000
5/19/16,2044.209961,2044.209961,2025.910034,2040.040039,3846770000
5/18/16,2044.380005,2060.610107,2034.48999,2047.630005,4101320000
5/17/16,2065.040039,2065.689941,2040.819946,2047.209961,4108960000
5/16/16,2046.530029,2071.879883,2046.530029,2066.659912,3501360000
5/13/16,2062.5,2066.790039,2043.130005,2046.609985,3579880000
5/12/16,2067.169922,2073.98999,2053.129883,2064.110107,3782390000
5/11/16,2083.290039,2083.290039,2064.459961,2064.459961,3821980000
5/10/16,2062.629883,2084.870117,2062.629883,2084.389893,3600200000
5/9/16,2057.550049,2064.149902,2054.310059,2058.689941,3788620000
5/6/16,2047.77002,2057.719971,2039.449951,2057.139893,3796350000
5/5/16,2052.949951,2060.22998,2045.77002,2050.629883,4008530000
5/4/16,2060.300049,2060.300049,2045.550049,2051.120117,4058560000
5/3/16,2077.179932,2077.179932,2054.889893,2063.370117,4173390000
5/2/16,2067.169922,2083.419922,2066.110107,2081.429932,3841110000
4/29/16,2071.820068,2073.850098,2052.280029,2065.300049,4704720000
4/28/16,2090.929932,2099.300049,2071.620117,2075.810059,4309840000
4/27/16,2092.330078,2099.889893,2082.310059,2095.149902,4100110000
4/26/16,2089.840088,2096.870117,2085.800049,2091.699951,3557190000
4/25/16,2089.370117,2089.370117,2077.52002,2087.790039,3319740000
4/22/16,2091.48999,2094.320068,2081.199951,2091.580078,3790580000
4/21/16,2102.090088,2103.780029,2088.52002,2091.47998,4175290000
4/20/16,2101.52002,2111.050049,2096.320068,2102.399902,4184880000
4/19/16,2096.050049,2104.050049,2091.679932,2100.800049,3896830000
4/18/16,2078.830078,2094.659912,2073.649902,2094.340088,3316880000
4/15/16,2083.100098,2083.219971,2076.310059,2080.72998,3701450000
4/14/16,2082.889893,2087.840088,2078.129883,2082.780029,3765870000
4/13/16,2065.919922,2083.179932,2065.919922,2082.419922,4191830000
4/12/16,2043.719971,2065.050049,2039.73999,2061.719971,4239740000
4/11/16,2050.22998,2062.929932,2041.880005,2041.98999,3567840000
4/8/16,2045.540039,2060.629883,2041.689941,2047.599976,3359530000
4/7/16,2063.01001,2063.01001,2033.800049,2041.910034,3801250000
4/6/16,2045.560059,2067.330078,2043.089966,2066.659912,3750800000
4/5/16,2062.5,2062.5,2042.560059,2045.170044,4154920000
4/4/16,2073.189941,2074.02002,2062.570068,2066.129883,3485710000
4/1/16,2056.620117,2075.070068,2043.97998,2072.780029,3749990000
3/31/16,2063.77002,2067.919922,2057.459961,2059.73999,3715280000
3/30/16,2058.27002,2072.209961,2058.27002,2063.949951,3590310000
3/29/16,2035.75,2055.909912,2028.310059,2055.01001,3822330000
3/28/16,2037.890015,2042.670044,2031.959961,2037.050049,2809090000
3/24/16,2032.47998,2036.040039,2022.48999,2035.939941,3407720000
3/23/16,2048.550049,2048.550049,2034.859985,2036.709961,3639510000
3/22/16,2048.639893,2056.600098,2040.569946,2049.800049,3418460000
3/21/16,2047.880005,2053.909912,2043.140015,2051.600098,3376600000
3/18/16,2041.160034,2052.360107,2041.160034,2049.580078,6503140000
3/17/16,2026.900024,2046.23999,2022.160034,2040.589966,4530480000
3/16/16,2014.23999,2032.02002,2010.040039,2027.219971,4057020000
3/15/16,2015.27002,2015.939941,2005.22998,2015.930054,3560280000
3/14/16,2019.27002,2024.569946,2012.050049,2019.640015,3487850000
3/11/16,1994.709961,2022.369995,1994.709961,2022.189941,4078620000
3/10/16,1990.969971,2005.079956,1969.25,1989.569946,4376790000
3/9/16,1981.439941,1992.689941,1979.839966,1989.26001,4038120000
3/8/16,1996.880005,1996.880005,1977.430054,1979.26001,4641650000
3/7/16,1996.109985,2006.119995,1989.380005,2001.76001,4968180000
3/4/16,1994.01001,2009.130005,1986.77002,1999.98999,6049930000
3/3/16,1985.599976,1993.689941,1977.369995,1993.400024,5081700000
3/2/16,1976.599976,1986.51001,1968.800049,1986.449951,4666610000
3/1/16,1937.089966,1978.349976,1937.089966,1978.349976,4819750000
2/29/16,1947.130005,1958.27002,1931.810059,1932.22998,4588180000
2/26/16,1954.949951,1962.959961,1945.780029,1948.050049,4348510000
2/25/16,1931.869995,1951.829956,1925.410034,1951.699951,4118210000
2/24/16,1917.560059,1932.079956,1891,1929.800049,4317250000
2/23/16,1942.380005,1942.380005,1919.439941,1921.27002,3890650000
2/22/16,1924.439941,1946.699951,1924.439941,1945.5,4054710000
2/19/16,1916.73999,1918.780029,1902.170044,1917.780029,4142850000
2/18/16,1927.569946,1930,1915.089966,1917.829956,4436490000
2/17/16,1898.800049,1930.680054,1898.800049,1926.819946,5011540000
2/16/16,1871.439941,1895.77002,1871.439941,1895.579956,4570670000
2/12/16,1833.400024,1864.780029,1833.400024,1864.780029,4696920000
2/11/16,1847,1847,1810.099976,1829.079956,5500800000
2/10/16,1857.099976,1881.599976,1850.319946,1851.859985,4471170000
2/9/16,1848.459961,1868.25,1834.939941,1852.209961,5183220000
2/8/16,1873.25,1873.25,1828.459961,1853.439941,5636460000
2/5/16,1913.069946,1913.069946,1872.650024,1880.050049,4929940000
2/4/16,1911.670044,1927.349976,1900.52002,1915.449951,5193320000
2/3/16,1907.069946,1918.01001,1872.22998,1912.530029,5172950000
2/2/16,1935.26001,1935.26001,1897.290039,1903.030029,4463190000
2/1/16,1936.939941,1947.199951,1920.300049,1939.380005,4322530000
1/29/16,1894,1940.23999,1894,1940.23999,5497570000
1/28/16,1885.219971,1902.959961,1873.650024,1893.359985,4693010000
1/27/16,1902.52002,1916.98999,1872.699951,1882.949951,4754040000
1/26/16,1878.790039,1906.72998,1878.790039,1903.630005,4357940000
1/25/16,1906.280029,1906.280029,1875.969971,1877.079956,4401380000
1/22/16,1877.400024,1908.849976,1877.400024,1906.900024,4901760000
1/21/16,1861.459961,1889.849976,1848.97998,1868.98999,5078810000
1/20/16,1876.180054,1876.180054,1812.290039,1859.329956,6416070000
1/19/16,1888.660034,1901.439941,1864.599976,1881.329956,4928350000
1/15/16,1916.680054,1916.680054,1857.829956,1880.329956,5468460000
1/14/16,1891.680054,1934.469971,1878.930054,1921.839966,5241110000
1/13/16,1940.339966,1950.329956,1886.410034,1890.280029,5087030000
1/12/16,1927.829956,1947.380005,1914.349976,1938.680054,4887260000
1/11/16,1926.119995,1935.650024,1901.099976,1923.670044,4607290000
1/8/16,1945.969971,1960.400024,1918.459961,1922.030029,4664940000
1/7/16,1985.319946,1985.319946,1938.829956,1943.089966,5076590000
1/6/16,2011.709961,2011.709961,1979.050049,1990.26001,4336660000
1/5/16,2013.780029,2021.939941,2004.170044,2016.709961,3706620000
1/4/16,2038.199951,2038.199951,1989.680054,2012.660034,4304880000
